S.No,Product/Drug Name,Batch No.,Manufacturing Date,Expiry Date,Manufactured By,NSQ Result,Reported by CDSCO Laboratory,Status,Source,Document,Manufact uring Date,S.No.,Name of Drugs/medical device/cosmetics,Unnamed_2,Unnamed_3,Date of Manufacture,Date of Expiry,Reason for failure,Drawn By,Firm’s reply,Remarks,Manufactu ring Date,Reported by State Laboratory,S. No.,Date of Manufa - cture,Manufactured by,Firm’s Reply,Manufacturi ng Date
34.,Nimesulide & Paracetamol Tablets (Somu Gold),TTX0093,01/2024,12/2026,"M/s.Pro-pharma Care Pvt. Ltd., Khasara No. : 68, 69, 71, Village : Sikandarpur, Bhaiswal, Near Bhagwanpur, Roorkee, Distt. Haridwar, Uttarakhand-247661",Dissolution,"RDTL, Guwahati",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
35.,Fluconazole Tablets I.P. 150 mg (Megmazole- 150 Tablets),TSF-C0116,01/2024,12/2025,"M/s.Spen Formulations Pvt. Ltd., Plot No-123, Industrial Area, Mehatpur, Distt. UNA174315 (H.P.)",Assay/Content of Fluconazole,"RDTL, Guwahati",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
36.,Ampicillin Sodium Injection I.P. (AMPIVEE- 500 Injection),TGDI082319 04,8/2023,07/2025,"M/s.T & G Medicare, Village Kunjahal, PO Baddi, Distt:. Solan (H.P.)",Sterillity,"RDTL, Guwahati",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
37.,Sulbactam Sodium Sterile I.P./USP.,23051901,5/2023,04/2026,"M/s.Reyoung Pharmaceutical Co. Ltd., No.1,Ruiyang Road, Yiyuan Country,Shandong Province,P.R.China,Post Code:256100.Imported By: Shah TC Distribution LLP,Gala No.2 & 3, 1st Floor, BLD No. B1.H.No.709/2&709/3,Radha Krushna Compound,T.M. Industrial Park, Pimplas Bhiwandi,MH-421302, India.","""Identification and Assay/Content of Sulbactam Sodium","RDTL, Guwahati",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
38.,Sulbactam Sodium Sterile I.P./USP.,23051806,5/2023,04/2026,"M/s.Reyoung Pharmaceutical Co. Ltd., No.1,Ruiyang Road, Yiyuan Country,Shandong Province,P.R.China,Post Code:256100.Imported By: Shah TC Distribution LLP,Gala No.2 & 3, 1st Floor, BLD No.",Identification and Assay/Content of Sulbactam Sodium,"RDTL, Guwahati",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
,,,,,"B1.H.No.709/2&709/3,Radha Krushna Compound,T.M. Industrial Park, Pimplas Bhiwandi,MH-421302, India.",,,NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
39.,Sulbactam Sodium Sterile I.P./USP.,23051903,5/2023,04/2026,"M/s.Reyoung Pharmaceutical Co. Ltd., No.1,Ruiyang Road, Yiyuan Country,Shandong Province,P.R.China,Post Code:256100.Imported By: Shah TC Distribution LLP,Gala No.2 & 3, 1st Floor, BLD No. B1.H.No.709/2&709/3,Radha Krushna Compound,T.M. Industrial Park, Pimplas Bhiwandi,MH-421302, India.",Identification and Assay/Content of Sulbactam Sodium,"RDTL, Guwahati",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
40.,Ciprofloxacin Tablets IP 250 mg (Ciprodac 250),CT24001,2/2024,01/2027,"M/s.CADILA PHARMACEUTICALS LIMITED, 1389, Dholka- 382225, Dist. Ahmedabad","Dissolution"" of Ciprofloxacin","RDTL, Guwahati",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
41.,Ciprofloxacin Tablets IP 250 mg,CITB-02,7/2024,06/2026,"M/s. NESTOR PHARMACEUTICALS LIMITED, 11, Western Extension Area, Faridabad - 121 001, INDIA",Dissolution,"RDTL, Guwahati",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
42.,Sulbactam Sodium Sterile I.P./USP,23051904,5/2023,04/2026,"M/s.Reyoung Pharmaceutical Co. Ltd., No.1,Ruiyang Road, Yiyuan Country,Shandong Province,P.R.China,Post Code:256100.Imported By: Shah TC Distribution LLP,Gala No.2 & 3, 1st Floor, BLD No. B1.H.No.709/2&709/3,Radha Krushna Compound,T.M. Industrial Park, Pimplas Bhiwandi,MH-421302, India.",Identification and Assay/Content of Sulbactam Sodium,"RDTL, Guwahati",NSQ,CDSCO,CDSCO NSQ ALERT FOR THE MONTH OF APRIL-2025.pdf,,,,,,,,,,,,,,,,,,
